HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
King's House Apartmen,22 1/2 King's House Road,Kingston 6,Kingston,-77.86482894,"18.519483786,"
Medallion Hall Hotel,53 Hope Road,Kingston 6,Kingston,-77.75209186,17.88235456
The Gardens,23 Liguanea Avenue,Kingston 6,Kingston,-77.08235345,18.41174122
Abahati Hotel,7 Grosvenor Terrace,Kingston 8,Kingston,-78.36736031,18.26911051
Old Church Apartments,5 Old Church Road,Kingston 8,Kingston,-77.53252736,18.48583279
Crieffe Court,10 Crieffe Road,,Kingston,-78.06016607,18.44634432
The Kensington,15-15a Kensington Cresent,,Kingston,-77.0786186,"18.41285009,0"
Altamont Court Hotel,1-3 Altamont Terrace,Kingston 5,Kinston,-78.36653609,18.27204046
Hotel Villa bella,Sedburgh,Christiana,Manchester,-77.88215213,18.51416611
Astra Country Inn,62 Ward Ave. Mandeville,Mandeville,Manchester,-78.36509113,18.27037064
Golf View Hotel,5 Caledonia Rd. Mandeville.,Mandeville,Manchester,-77.92723052,"18.479029963,"
Kariba Kariba Guest H,Lots 15 & 35 c/o 9 Caledonia,Mandeville,Manchester,-77.86722268,18.51475544
Mandeville Flats,"7 Hillview Flats, Belvenie He",Mandeville,Manchester,-77.80629952,18.52015213
Mandeville Hotel,"4 Hotel Street, Mandeville",Mandeville,Manchester,-77.806003,18.51630923
Rodan Guest House,6 Wesley Avenue,Mandeville,Manchester,-77.33456481,18.4609395
Imani Ashi Villa,190 Patterson Avenue,Ironshore,Montego Ba,-77.87976148,18.5193639
Villa Dee Phil,"136 Patterson Avenue, P.O. Bo",Ironshore,Montego Ba,-77.01130843,18.40266188
Golden Acres Villa,"P.O. Box 332, Ocho Rios P.O.",Race Course,Oracabessa,-77.92849911,18.48085297
Belmont Villa,"c/o 1 Oval Road, Kgn 5. Drape",Alligator Head,Portland,-78.35821801,18.24487619
Bolthole,Port Antonio P.O. Box 276,Anchovy Valley,Portland,-78.34425729,18.28380784
Bonnie Amie,San San,Blue Hole,Portland,-78.3436304,18.28432441
Spindle Top,San San,"Blue Hole,",Portland,-77.10737225,18.40731538
Drapers San,,Drapers,Portland,-78.05509936,18.44632166
Turtle Cove,,Drapers,Portland,-77.04187062,18.4215197
Crystal Cove,"San San Bay, Blue Lagoon",Fairy Hill,Portland,-78.06003132,18.4449338
Nautilus Villa,Blue Lagoon,Fairy Hill,Portland,-77.5390048,18.48290172
Paradise Inn,Snow Hill,Fairy Hill,Portland,-77.52905916,18.48354377
Sand Wood,,Fairy Hill,Portland,-77.31502634,18.45240389
Sweet Harmony Guest H,"Boston, Fairy Hill P.O.",Fairy Hill,Portland,-77.09856915,18.40948967
Chateau En Exotica,Port Antonio P.O. 14,Folly Estates,Portland,-78.33672501,18.30025606
Coconut Isle,Long Bay,Long Bay,Portland,-78.13503247,18.20876311
Nirvana,Main Road,Long Bay,Portland,-77.53639669,18.48215848
Rolling Surf,55a East Palm Avenue,Long Bay,Portland,-77.33364903,"18.463641089,"
Sea Cliff Resort,,Long Bay,Portland,-77.22271665,18.44522539
Bonnie View Plantatio,Richmond Hill P.O. 82,Port Antonio,Portland,-78.3432292,18.28420529
Casa Great House,P.O. Box 170,Port Antonio,Portland,-78.33775986,18.33342591
College of Agricultur,P.O. Box 170,Port Antonio,Portland,-78.07839667,18.44995835
De Dolphin Guest Hous,,Port Antonio,Portland,-78.05767188,"18.448716822,"
Demontevin Lodge Gues,21 Fort George Street,Port Antonio,Portland,-78.05730836,18.45165842
Dragon Bay,Zion Hill P.O. Box176,Port Antonio,Portland,-78.05513842,18.44523438
Emerald Forrest,P.O. Box 210,Port Antonio,Portland,-78.05234233,18.44527524
Faith Cottage,Dolphin Bay,Port Antonio,Portland,-77.99122273,18.44160621
Fern Hill Club,San San P.O. Box 100 Port Ant,Port Antonio,Portland,-77.9827436,18.44396221
Frenchman's Cove Vill,Frenchman's Cove P.O. Box 101,Port Antonio,Portland,-77.94542677,18.44471515
Goblin Hill Villas,"San San , Port Antonio P.O. B",Port Antonio,Portland,-77.92851408,18.4836947
Holiday Home,12 King Street,Port Antonio,Portland,-77.91247419,18.46542441
Ivan Hoe's Guest Hous,9 Queen Street,Port Antonio,Portland,-77.8764918,18.50193865
Jamaica Crest Villas,P.O. Box 165,Port Antonio,Portland,-77.8744397,18.50605615
Jamaica Palace Hotel,P.O. Box 277 Port antonio,Port Antonio,Portland,-77.87292191,18.50500371
Mocking Bird Hill,Drapers P.O. Box 254 Port Ant,Port Antonio,Portland,-77.6139265,17.90717093
Panorama Villa,San San,Port Antonio,Portland,-77.52969638,18.483349
Passley Gardens,P.O. Box 179,Port Antonio,Portland,-77.52775679,18.48469266
Pixie Hill,"San San, Port Antonio P.O. Bo",Port Antonio,Portland,-77.46168514,18.46976465
San Cove,P.O. Box 276,Port Antonio,Portland,-77.31965994,18.4490457
Sea Shell,San San,Port Antonio,Portland,-77.16943433,18.4286853
Shadows Guest House,40 West Street,Port Antonio,Portland,-77.16150631,18.42540438
Sunnyside Hotel,18 Fort George Street,Port Antonio,Portland,-77.10076129,18.41087175
Tim Bamboo,5 Eveleigh Road,Port Antonio,Portland,-77.06843888,18.41651012
Trident Hotel,P.O. Box 119 Port Antonio,Port Antonio,Portland,-77.04593754,18.42293441
I-Tal Village,"Rodney Hall, Black Hill P.A.",Rodney Hall,Portland,-77.87657653,18.50571702
Chrysanda Villa,San San,San San,Portland,-78.33617983,18.31215911
Deja Vu,San San,San San,Portland,-78.05758466,18.45179294
Gremlin,"San San, P.O. Box 210, Port A",San San,Portland,-77.92646457,18.49157543
Halcyon,"San San, P.O. Box 138",San San,Portland,-77.92440551,18.48814129
San San Tropez,San San,San San,Portland,-77.3171032,18.46860862
Sand Spice,San San,San San,Portland,-77.31529565,18.47125499
Shoreham Green Villa,San San,San San,Portland,-77.15214968,18.42049041
Blue Beyond Villas,,Snow Hill,Portland,-78.35565508,18.24456008
Pleasant View Inn,,St. Margaret's Bay,Portland,-77.45410802,18.46155398
Rio Vista Resort & Vi,P.O. Box 4,St. Margaret's Bay,Portland,-77.35098464,18.38823731
Villa Paola,Drapers P.O.,Williamsfield,Portland,-76.95398079,18.40170162
Jamaica Heights,"Spring Bank Road, P.O. Box 66",,Portland,-77.87348698,18.52015651
Navy Island Marina Re,Port Antonio P.O. Box 188,,Portland,-77.53869715,18.48185783
Sea Scape,Long Bay,,Portland,-77.17041752,18.43391548
Thrift's Inn,1 Bridge Street,,Portland,-77.0741673,18.4144201
Almond Tree,Arawak P.O. Box 332,Mammee Bay,St Ann,-78.36654386,18.26398372
Hikaru Villa,Billy's Bay P.O.,Billy's Bay,St Elizabe,-77.91776178,18.47086694
Airport Inn,,Montego Bay,St James,-78.36723003,18.27331032
Busha's Country Resor,,Montego Bay,St James,-78.34061605,18.2900145
Lethe Estate,P.O. Box 23 (Montego Bay),,St James,-77.85301084,18.02577024
Strawberry Hill,"Irish Town, St. Andrew",Irish Town,St. Andrew,-77.10516764,18.41105139
Krystal K' Villa,"Mammee Bay, Arawak",Arawak,St. Ann,-77.86294092,18.51752886
Pimento Lodge,,Breadnut Hill,St. Ann,-77.50137423,18.04932996
Knutsford Great House,"P.O. Box 444, Brown's Town P.",Brown's Town,St. Ann,-77.86304458,18.51416909
Treasure Trove,"P.O. Box 25, Brown's Town P.O",Brown's Town,St. Ann,-77.04805926,18.42090434
Bauhania Cluster,"Colombus Hieghts, P.O. Box 38",Colombus Hieghts,St. Ann,-78.36356349,18.27044373
Portside Resort Villa,Discovery Bay P.O. Box 42.,Diccovery Bay,St. Ann,-77.40146334,18.46865014
A Summer Place,Fortland Road,Discovery Bay,St. Ann,-78.36758632,"18.26941738,0"
Amore Villas,"Stewart Town Road, P.O. Box 4",Discovery Bay,St. Ann,-78.36641987,18.26496944
Beach Nut,Bengai Beach,Discovery Bay,St. Ann,-78.36097488,18.25365403
Bean Bird Lodge,Fortland Road,Discovery Bay,St. Ann,-78.35856198,18.24615094
Cara Mia Villa,P.O. Box 42,Discovery Bay,St. Ann,-78.33940933,18.28930658
Casita,Queen's Highway,Discovery Bay,St. Ann,-78.33768688,18.31056162
Coconut Villas,Fortland Road,Discovery Bay,St. Ann,-78.13274408,18.21656218
Fortland's Point,Fortland's Road,Discovery Bay,St. Ann,-77.96417119,"18.09078116,0"
Grosvenor Villa,,Discovery Bay,St. Ann,-77.92626045,18.47864088
Hoibin,Bengal,Discovery Bay,St. Ann,-77.91322589,"18.465969201,"
Keela Wee Villa,12 Fortland Road,Discovery Bay,St. Ann,-77.86673722,18.51788402
Osbourne Great House,Queen Hytha Road,Discovery Bay,St. Ann,-77.53066091,18.48323631
Sea Grapes,"Fortland Rd, c/o P.O Box 302",Discovery Bay,St. Ann,-77.18749671,18.4354463
Sea Haven,Fortland Bay,Discovery Bay,St. Ann,-77.1719978,18.43168253
Snug Harbour,Fortlands Road,Discovery Bay,St. Ann,-77.10931262,18.40710933
St. Vincent,,Discovery Bay,St. Ann,-77.10628056,18.4085685
Sugar Bay,Fortland Road,Discovery Bay,St. Ann,-77.10514012,18.41073719
